,id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
3793,74d73cb5-fba9-4db1-be33-29642ff2df68,240000.0,74400.0,El Omrane Supérieur,El Omrane Superieur,tunis,135.0,4.0,3.0,1.0,10-20 ,2.0,36.8478521545336,10.1260203249452,7.6513510699488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3794,d0451a50-fe41-430d-9b9d-a2945471763b,237500.0,73625.0,Borj Louzir,La Soukra,Ariana,135.0,4.0,3.0,2.0,0,2.0,36.883333,10.25,11.3450822580238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3795,3e6c548e-9333-4b24-8660-2b228c5f76c8,230000.0,71300.0,Bou Mhel,Boumhel Bassatine,Ben Arous,135.0,4.0,3.0,1.0,10-20 ,1.0,36.57724,10.34246,30.8152660477654,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3800,fd862c34-ae34-4040-abe0-202842975b08,372000.0,115320.0,Bhar Lazreg,La Marsa,tunis,134.0,4.0,3.0,2.0,1-5 ,1.0,36.876389,10.325278,17.7221901283016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3804,734ffdb7-ee33-411f-a243-ee0b3bbbce9c,339000.0,105090.0,Cité Ennasr 1,Ariana Ville,Ariana,134.0,4.0,2.0,2.0,1-5 ,2.0,36.8629120260853,10.1528270459745,6.94883365583962,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3805,09901e49-cc85-4b6a-9591-eb330252eeeb,338000.0,104780.0,El Omrane Supérieur,El Omrane Superieur,tunis,134.0,4.0,3.0,1.0,20-30 ,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3806,30af0b18-62bf-47b2-89e5-a6db10e95d12,260000.0,80600.0,Dar Fadhal,La Soukra,Ariana,134.0,4.0,3.0,1.0,1-5 ,1.0,36.883333,10.25,11.3450822580238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3807,e1c512d7-6198-4724-a4a0-cdf66cbef50d,320000.0,99200.0,La Soukra,La Soukra,Ariana,133.0,4.0,3.0,2.0,0,1.0,36.883333,10.25,11.3450822580238,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3809,dc8de501-a650-4140-aece-148cf044a983,570000.0,176700.0,Les Jardins de Carthage,Le Kram,tunis,132.0,4.0,3.0,3.0,0,2.0,36.833333,10.316667,15.3139811663917,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3810,3bf47f9a-769b-4a9b-8931-274dc3d4c5d6,570000.0,176700.0,Les Jardins de Carthage,Le Kram,tunis,132.0,4.0,3.0,1.0,0,2.0,36.833333,10.316667,15.3139811663917,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3812,22af0ca3-486b-42ba-8160-ab7bb541955e,330000.0,102300.0,La Soukra,La Soukra,Ariana,132.0,4.0,3.0,1.0,10-20 ,1.0,36.88833,10.27417,13.6515294537323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3813,8ce2972a-ec44-4095-a522-f23894e7d4c6,325000.0,100750.0,La Soukra,La Soukra,Ariana,132.0,4.0,3.0,2.0,10-20 ,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3815,b0fa22f3-e4e2-4c5e-b6aa-ebb06f878fc3,295000.0,91450.0,Cité Ennasr 2,Ariana Ville,Ariana,132.0,4.0,3.0,2.0,10-20 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3817,6bd12158-2901-4e1a-a3e4-8f0c6bfe5c07,224000.0,69440.0,Chotrana 1,La Soukra,Ariana,132.0,4.0,3.0,2.0,0,2.0,36.883333,10.25,11.3450822580238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3818,1d4e2b1b-e278-4a2c-b231-d3f2177928eb,165000.0,51150.0,Sidi Abbes,Sfax Ville,Sfax,132.0,4.0,3.0,2.0,10-20 ,1.0,34.7511295,10.730292,232.887372033537,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3821,cc851f9e-2cdc-4ee6-89bd-0900e8c99096,380000.0,117800.0,Chotrana 1,La Soukra,Ariana,131.0,4.0,3.0,2.0,0,2.0,36.883333,10.25,11.3450822580238,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3824,bb19c77e-9baa-47c9-899b-3275e5e8ca5e,295000.0,91450.0,Cité El Wafa,Nabeul,Nabeul,131.0,4.0,3.0,1.0,5-10 ,1.0,36.439144,10.684428,68.8565819832866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3825,135b9bff-d8bd-4b47-a84a-5a63d794862d,295000.0,91450.0,Cité El Wafa,Nabeul,Nabeul,131.0,4.0,3.0,2.0,5-10 ,1.0,36.4348173704812,10.6917913330078,69.7973799332708,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
3828,1c00a7ad-52e5-4630-81db-025b1c64ec2a,290000.0,89900.0,Cité El Wafa,Nabeul,Nabeul,131.0,4.0,3.0,2.0,1-5 ,1.0,36.439144,10.684428,68.8565819832866,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
3829,4e83f771-fa42-45e8-8cb1-aa83cf1a1aa8,250000.0,77500.0,Aouina,La Marsa,tunis,131.0,4.0,3.0,1.0,10-20 ,1.0,36.876389,10.325278,17.7221901283016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
